route_id,fare_per_km,avg_fare_per_km,fare_amount,trip_distance
48_142,14.311926605504587,8.509253554240729,15.6,1.09
48_142,20.476190476190474,8.509253554240729,8.6,0.42
48_142,15.74074074074074,8.509253554240729,17.0,1.08
48_144,48.166666666666664,6.640943547651984,28.9,0.6
48_158,9.192825112107624,6.536116696284483,20.5,2.23
48_158,11.967213114754097,6.536116696284483,21.9,1.83
48_158,9.933333333333334,6.536116696284483,14.9,1.5
48_158,8.947368421052632,6.536116696284483,17.0,1.9
48_158,10.46979865771812,6.536116696284483,15.6,1.49
48_158,8.878923766816143,6.536116696284483,19.8,2.23
48_158,9.567567567567567,6.536116696284483,17.7,1.85
48_158,11.607843137254903,6.536116696284483,29.6,2.55
48_158,8.941176470588236,6.536116696284483,15.2,1.7
48_158,9.444444444444445,6.536116696284483,17.0,1.8
48_158,10.0,6.536116696284483,19.8,1.98
48_158,9.029850746268655,6.536116696284483,12.1,1.34
48_158,9.123711340206185,6.536116696284483,17.7,1.94
48_158,9.761904761904761,6.536116696284483,20.5,2.1
48_158,10.071428571428571,6.536116696284483,28.2,2.8
48_158,10.073260073260073,6.536116696284483,27.5,2.73
48_158,8.85,6.536116696284483,17.7,2.0
48_158,9.563318777292576,6.536116696284483,21.9,2.29
48_158,10.909090909090908,6.536116696284483,24.0,2.2
48_158,11.770833333333334,6.536116696284483,22.6,1.92
48_158,10.241545893719808,6.536116696284483,21.2,2.07
48_158,9.176470588235293,6.536116696284483,15.6,1.7
48_158,10.153846153846155,6.536116696284483,19.8,1.95
48_158,8.833333333333334,6.536116696284483,21.2,2.4
48_158,8.894472361809045,6.536116696284483,17.7,1.99
48_158,12.517006802721088,6.536116696284483,18.4,1.47
48_161,18.478260869565215,10.594701114645769,17.0,0.92
48_161,28.80952380952381,10.594701114645769,12.1,0.42
48_161,21.52173913043478,10.594701114645769,19.8,0.92
48_161,23.623188405797105,10.594701114645769,16.3,0.69
48_161,22.23076923076923,10.594701114645769,28.9,1.3
48_161,18.71212121212121,10.594701114645769,24.7,1.32
48_161,18.625,10.594701114645769,14.9,0.8
